loan_amnt,funded_amnt_inv,term,int_rate,installment,grade,emp_length,home_ownership,annual_inc,verification_status,loan_status,purpose,addr_state,total_acc,total_pymnt,application_type
20250,19142.16108, 60 months,15.27%,484.63,C,3 years,RENT,43370,Verified,Fully Paid,debt_consolidation,TX,22,27679.05,Individual
21000,21000, 36 months,12.42%,701.73,B,10+ years,RENT,105000,Verified,Charged Off,debt_consolidation,FL,38,14034.6,Individual
10000,10000, 36 months,11.71%,330.76,B,10+ years,OWN,50000,Source Verified,Fully Paid,credit_card,TX,21,11907.35,Individual
10000,10000, 36 months,11.71%,330.76,B,5 years,RENT,50000,Not Verified,Fully Paid,debt_consolidation,CA,17,11540.89198,Individual
6000,6000, 36 months,11.71%,198.46,B,1 year,RENT,76000,Not Verified,Charged Off,major_purchase,CA,7,2055.85,Individual
15000,15000, 36 months,9.91%,483.38,B,2 years,MORTGAGE,92000,Verified,Fully Paid,credit_card,IL,31,15823.99905,Individual
15000,8725, 36 months,14.27%,514.64,C,9 years,RENT,60000,Not Verified,Charged Off,debt_consolidation,NY,11,0,Individual
5000,5000, 60 months,16.77%,123.65,D,2 years,RENT,50004,Not Verified,Charged Off,other,PA,22,1611.16,Individual
4000,4000, 36 months,11.71%,132.31,B,10+ years,MORTGAGE,106000,Not Verified,Fully Paid,debt_consolidation,FL,44,4486.293519,Individual
8500,8500, 36 months,11.71%,281.15,B,< 1 year,RENT,25000,Source Verified,Fully Paid,credit_card,MN,12,10126.08844,Individual
4375,4375, 36 months,7.51%,136.11,A,7 years,MORTGAGE,17108,Source Verified,Fully Paid,debt_consolidation,NY,12,4899.96,Individual
31825,31825, 36 months,7.90%,995.82,A,5 years,MORTGAGE,75000,Verified,Fully Paid,debt_consolidation,NJ,26,34886.91378,Individual
10000,9975, 60 months,15.96%,242.97,C,2 years,RENT,29120,Verified,Fully Paid,debt_consolidation,FL,31,14577.21885,Individual
5000,5000, 36 months,8.90%,158.77,A,2 years,RENT,24044,Verified,Fully Paid,debt_consolidation,OR,16,5715.56,Individual
7000,7000, 36 months,15.96%,245.97,C,7 years,RENT,34000,Source Verified,Fully Paid,credit_card,CA,6,8854.510004,Individual
12400,12400, 36 months,10.65%,403.91,B,10+ years,RENT,41000,Not Verified,Fully Paid,credit_card,KY,12,14540.67999,Individual
10800,10800, 36 months,9.91%,348.03,B,2 years,RENT,55596,Source Verified,Fully Paid,moving,CA,18,12159.18687,Individual
15000,15000, 36 months,7.90%,469.36,A,1 year,RENT,45000,Verified,Fully Paid,debt_consolidation,OH,27,16663.34403,Individual
6000,6000, 36 months,12.42%,200.5,B,1 year,RENT,36852,Source Verified,Fully Paid,debt_consolidation,AZ,12,7127.722011,Individual
12500,12475, 60 months,12.69%,282.44,B,1 year,RENT,27000,Verified,Fully Paid,debt_consolidation,IL,24,16945.87595,Individual
9600,9600, 36 months,7.51%,298.67,A,4 years,RENT,68004,Source Verified,Fully Paid,other,SC,11,10751.86997,Individual
12000,12000, 36 months,7.90%,375.49,A,10+ years,RENT,62300,Not Verified,Fully Paid,debt_consolidation,NJ,25,13517.36,Individual
3000,3000, 36 months,18.25%,108.84,D,9 years,MORTGAGE,65000,Not Verified,Fully Paid,other,PA,22,3917.949999,Individual
4400,4400, 36 months,16.77%,156.37,D,10+ years,RENT,55000,Not Verified,Fully Paid,debt_consolidation,RI,11,5629.270001,Individual
6000,6000, 36 months,6.03%,182.62,A,10+ years,MORTGAGE,45600,Not Verified,Fully Paid,debt_consolidation,LA,28,6065.86,Individual
14000,14000, 36 months,9.91%,451.15,B,6 years,RENT,80000,Not Verified,Fully Paid,small_business,MA,40,16241.38,Individual
5000,5000, 36 months,8.90%,158.77,A,10+ years,MORTGAGE,100000,Source Verified,Charged Off,debt_consolidation,OH,35,5028.87,Individual
10000,10000, 36 months,10.65%,325.74,B,6 years,RENT,27000,Verified,Fully Paid,other,NY,10,11726.32,Individual
10000,10000, 36 months,6.03%,304.36,A,10+ years,RENT,60000,Not Verified,Fully Paid,credit_card,CT,18,10282.70571,Individual
11000,11000, 36 months,6.62%,337.75,A,5 years,RENT,70000,Not Verified,Fully Paid,debt_consolidation,CT,7,12158.61,Individual
15000,15000, 36 months,9.91%,483.38,B,8 years,MORTGAGE,80000,Not Verified,Charged Off,debt_consolidation,IL,28,16177.77,Individual
25600,25350, 36 months,9.91%,824.96,B,9 years,RENT,110000,Verified,Fully Paid,credit_card,CA,27,29698.51,Individual
7000,7000, 36 months,10.65%,228.02,B,< 1 year,RENT,40000,Not Verified,Fully Paid,debt_consolidation,CA,12,8208.410003,Individual
12000,12000, 36 months,15.96%,421.65,C,4 years,RENT,50000,Not Verified,Charged Off,car,CA,11,3531.77,Individual
12000,12000, 36 months,9.91%,386.7,B,1 year,RENT,46000,Not Verified,Fully Paid,credit_card,TX,12,13751.14474,Individual
21000,20975, 60 months,19.91%,555.33,E,7 years,RENT,50000,Verified,Charged Off,debt_consolidation,WA,14,18325.89,Individual
16000,15950, 60 months,19.91%,423.11,E,7 years,RENT,81000,Verified,Fully Paid,credit_card,MA,21,20882.09701,Individual
10000,10000, 36 months,12.42%,334.16,B,< 1 year,OWN,39000,Not Verified,Fully Paid,debt_consolidation,OR,10,11477.10378,Individual
10000,10000, 36 months,10.65%,325.74,B,2 years,RENT,51400,Not Verified,Fully Paid,credit_card,TX,24,10576.43411,Individual
7100,7100, 36 months,16.77%,252.33,D,1 year,MORTGAGE,33000,Verified,Fully Paid,debt_consolidation,TX,8,9083.530005,Individual
13000,13000, 60 months,12.69%,293.74,B,< 1 year,MORTGAGE,30000,Source Verified,Fully Paid,debt_consolidation,NJ,27,17402.23999,Individual
17500,8925, 60 months,17.27%,223.74,D,6 years,RENT,40000,Verified,Fully Paid,small_business,CA,6,13227.10001,Individual
17675,17675, 60 months,14.65%,417.25,C,< 1 year,RENT,50000,Source Verified,Fully Paid,debt_consolidation,WI,14,21323.86749,Individual
8000,8000, 36 months,16.77%,284.31,D,< 1 year,RENT,62000,Not Verified,Fully Paid,debt_consolidation,VA,20,10273.24,Individual
10000,9975, 60 months,10.65%,215.69,B,10+ years,RENT,45996,Verified,Charged Off,debt_consolidation,OH,15,8772.91,Individual
3500,3500, 36 months,10.65%,114.01,B,7 years,MORTGAGE,55000,Not Verified,Fully Paid,debt_consolidation,OH,12,4104.209999,Individual
12500,8925, 60 months,17.27%,223.11,D,5 years,RENT,30000,Source Verified,Charged Off,debt_consolidation,MN,28,5577.75,Individual
16425,16425, 36 months,14.27%,563.53,C,4 years,RENT,44544,Source Verified,Fully Paid,debt_consolidation,CA,18,18174.82881,Individual
8200,8200, 60 months,21.28%,223.14,F,4 years,RENT,75000,Source Verified,Charged Off,small_business,CA,11,4177.11,Individual
15000,15000, 36 months,14.65%,517.42,C,2 years,OWN,61000,Verified,Fully Paid,credit_card,FL,18,18565.14804,Individual
20975,13550, 60 months,17.58%,341.63,D,5 years,MORTGAGE,44000,Verified,Fully Paid,credit_card,GA,21,18112.46087,Individual
6400,6400, 36 months,16.77%,227.45,D,5 years,RENT,75000,Not Verified,Charged Off,debt_consolidation,CA,27,4776.45,Individual
3000,3000, 36 months,13.49%,101.8,C,1 year,RENT,33600,Not Verified,Fully Paid,debt_consolidation,AL,7,3247.889478,Individual
12000,12000, 36 months,16.77%,426.47,D,3 years,RENT,50000,Not Verified,Fully Paid,credit_card,MA,19,15352.47999,Individual
14400,14400, 36 months,8.90%,457.25,A,< 1 year,OWN,150000,Source Verified,Fully Paid,debt_consolidation,NY,38,16460.85,Individual
12000,12000, 36 months,14.65%,413.94,C,10+ years,RENT,90000,Not Verified,Fully Paid,debt_consolidation,NJ,36,12699.71201,Individual
11000,11000, 36 months,13.49%,373.24,C,10+ years,MORTGAGE,48000,Verified,Fully Paid,debt_consolidation,TX,29,13418.28,Individual
7250,7175, 60 months,21.67%,197.51,F,< 1 year,RENT,75000,Verified,Fully Paid,debt_consolidation,CA,19,8204.774089,Individual
15000,15000, 36 months,7.90%,469.36,A,1 year,MORTGAGE,52000,Not Verified,Fully Paid,small_business,TX,29,15557.68008,Individual
18000,18000, 60 months,19.91%,475.99,E,10+ years,MORTGAGE,65000,Not Verified,Fully Paid,debt_consolidation,FL,40,26034.66002,Individual
35000,22050, 60 months,17.27%,551.84,D,3 years,MORTGAGE,150000,Verified,Fully Paid,home_improvement,NY,31,28887.10007,Individual
10000,10000, 36 months,14.27%,343.09,C,2 years,RENT,68000,Source Verified,Fully Paid,credit_card,PA,15,10672.89443,Individual
11800,11800, 36 months,12.69%,395.83,B,6 years,RENT,42000,Source Verified,Fully Paid,credit_card,NY,13,14249.84001,Individual
4500,4500, 36 months,6.03%,136.96,A,4 years,RENT,53000,Source Verified,Fully Paid,major_purchase,CA,17,4930.555891,Individual
7000,7000, 36 months,12.69%,234.82,B,10+ years,RENT,35000,Source Verified,Fully Paid,credit_card,CA,26,8453.260001,Individual
9200,9200, 36 months,12.42%,307.43,B,2 years,RENT,60000,Source Verified,Fully Paid,debt_consolidation,CA,19,10482.84389,Individual
14000,13975, 60 months,17.27%,349.98,D,4 years,RENT,28000,Verified,Fully Paid,other,WA,10,20998.02476,Individual
4500,4475, 60 months,10.65%,97.06,B,< 1 year,MORTGAGE,42000,Source Verified,Fully Paid,car,TX,9,4910.673856,Individual
12000,12000, 36 months,16.29%,423.61,D,9 years,RENT,88365,Verified,Fully Paid,debt_consolidation,AZ,15,14688.34153,Individual
12000,12000, 36 months,13.49%,407.17,C,4 years,RENT,72000,Source Verified,Fully Paid,debt_consolidation,CA,19,13990.92132,Individual
12000,12000, 36 months,10.65%,390.88,B,< 1 year,RENT,62000,Verified,Fully Paid,credit_card,TX,51,12780.07239,Individual
7000,7000, 36 months,10.65%,228.02,B,3 years,MORTGAGE,43680,Not Verified,Fully Paid,credit_card,MN,11,7689.273614,Individual
8200,8200, 60 months,19.42%,214.62,E,3 years,RENT,120000,Source Verified,Fully Paid,debt_consolidation,NY,6,11909.45001,Individual
10500,10500, 36 months,12.69%,352.23,B,10+ years,RENT,66000,Verified,Fully Paid,medical,CA,26,11233.31941,Individual
7000,7000, 36 months,11.71%,231.54,B,4 years,OWN,39120,Not Verified,Fully Paid,debt_consolidation,FL,26,7933.963623,Individual
15300,15275, 60 months,22.06%,423.1,F,6 years,RENT,85000,Verified,Fully Paid,credit_card,VA,27,25385.07915,Individual
20000,12775, 60 months,11.71%,282.86,B,4 years,MORTGAGE,47800,Verified,Fully Paid,debt_consolidation,VA,27,15169.30547,Individual
17500,17500, 60 months,17.27%,437.47,D,7 years,MORTGAGE,45000,Not Verified,Charged Off,credit_card,WA,26,10037.7,Individual
3500,3500, 36 months,6.03%,106.53,A,10+ years,MORTGAGE,83000,Verified,Fully Paid,car,IL,28,3834.858171,Individual
6000,6000, 60 months,12.69%,135.57,B,< 1 year,RENT,81000,Source Verified,Fully Paid,major_purchase,CO,17,8134.048298,Individual
6200,6200, 36 months,9.91%,199.8,B,2 years,RENT,25000,Not Verified,Charged Off,debt_consolidation,CA,12,2456.33,Individual
16000,16000, 60 months,17.58%,402.65,D,7 years,RENT,65000,Not Verified,Fully Paid,debt_consolidation,KS,16,24011.06,Individual
6000,6000, 36 months,8.90%,190.52,A,8 years,OWN,28800,Not Verified,Fully Paid,debt_consolidation,NJ,13,6858.700001,Individual
7200,7200, 36 months,9.91%,232.02,B,6 years,RENT,135000,Not Verified,Fully Paid,credit_card,NY,18,8352.709998,Individual
9500,9500, 36 months,8.90%,301.66,A,7 years,MORTGAGE,50000,Not Verified,Fully Paid,credit_card,TX,13,10495.82126,Individual
18825,18800, 60 months,16.77%,465.53,D,10+ years,RENT,38000,Verified,Charged Off,debt_consolidation,TX,7,18749.25,Individual
24000,24000, 36 months,10.65%,781.76,B,10+ years,RENT,45000,Verified,Fully Paid,debt_consolidation,CA,9,28143.25001,Individual
6000,6000, 36 months,13.49%,203.59,C,10+ years,RENT,80000,Not Verified,Fully Paid,debt_consolidation,CA,16,7328.920002,Individual
6000,6000, 36 months,13.49%,203.59,C,5 years,RENT,50000,Not Verified,Fully Paid,debt_consolidation,AZ,7,7328.920002,Individual
2100,2100, 36 months,12.42%,70.18,B,10+ years,MORTGAGE,30000,Not Verified,Fully Paid,vacation,LA,26,2553.84,Individual
5500,5500, 36 months,6.62%,168.88,A,8 years,MORTGAGE,110000,Verified,Fully Paid,small_business,CT,26,6079.289999,Individual
11000,11000, 36 months,6.62%,337.75,A,8 years,OWN,45608,Source Verified,Fully Paid,debt_consolidation,LA,11,12158.61,Individual
26800,26800, 60 months,20.89%,723.38,F,3 years,MORTGAGE,120000,Verified,Fully Paid,debt_consolidation,FL,18,32895.86293,Individual
8000,8000, 36 months,12.69%,268.36,B,5 years,MORTGAGE,35000,Not Verified,Fully Paid,debt_consolidation,IL,18,9000.143229,Individual
10000,10000, 36 months,18.25%,362.78,D,1 year,RENT,75000,Source Verified,Charged Off,credit_card,CA,26,11730.6,Individual
8000,8000, 36 months,11.71%,264.61,B,9 years,MORTGAGE,35000,Verified,Fully Paid,credit_card,NV,8,9435.85818,Individual
10000,10000, 36 months,8.90%,317.54,A,6 years,RENT,24000,Verified,Fully Paid,debt_consolidation,CA,21,10869.33055,Individual
12000,12000, 36 months,11.71%,396.92,B,2 years,MORTGAGE,126000,Not Verified,Fully Paid,debt_consolidation,OH,38,14183.43257,Individual
10000,10000, 36 months,7.90%,312.91,A,1 year,RENT,43000,Not Verified,Fully Paid,debt_consolidation,CA,16,11264.48,Individual
12000,12000, 36 months,9.91%,386.7,B,1 year,RENT,50000,Not Verified,Fully Paid,debt_consolidation,CA,25,13921.18,Individual
25000,23088.16106, 60 months,13.49%,575.12,C,10+ years,MORTGAGE,67000,Verified,Charged Off,credit_card,AK,21,23880.65,Individual
19750,19725, 36 months,10.65%,643.33,B,4 years,RENT,45000,Verified,Charged Off,debt_consolidation,OR,28,11931.23,Individual
10000,10000, 36 months,9.91%,322.25,B,3 years,RENT,31200,Source Verified,Fully Paid,debt_consolidation,NY,19,10904.83903,Individual
13650,13650, 36 months,12.42%,456.12,B,4 years,RENT,66000,Verified,Fully Paid,debt_consolidation,NV,34,16012.11212,Individual
28000,11775, 60 months,19.91%,312.04,E,10+ years,RENT,52000,Verified,Charged Off,debt_consolidation,TX,16,12181.32,Individual
18000,18000, 36 months,7.90%,563.23,A,10+ years,RENT,56964,Source Verified,Fully Paid,debt_consolidation,CA,20,20276.0603,Individual
2500,2500, 36 months,14.27%,85.78,C,7 years,RENT,49500,Source Verified,Fully Paid,debt_consolidation,FL,20,2529.902083,Individual
21000,20120.80657, 60 months,20.30%,559.89,E,10+ years,RENT,70000,Verified,Fully Paid,credit_card,CO,25,27097.72185,Individual
35000,35000, 36 months,8.90%,1111.37,A,6 years,MORTGAGE,125000,Verified,Fully Paid,debt_consolidation,CA,32,40009.00999,Individual
10000,10000, 36 months,7.51%,311.11,A,3 years,RENT,33000,Not Verified,Fully Paid,credit_card,NJ,19,11028.3575,Individual
7000,7000, 36 months,12.69%,234.82,B,< 1 year,RENT,30000,Source Verified,Fully Paid,credit_card,VA,11,8453.250717,Individual
24000,24000, 36 months,15.96%,843.3,C,8 years,MORTGAGE,90000,Source Verified,Charged Off,home_improvement,CA,23,5903.1,Individual
10625,10625, 36 months,7.51%,330.56,A,5 years,MORTGAGE,23000,Not Verified,Fully Paid,medical,OR,21,11843.01164,Individual
5000,5000, 36 months,14.65%,172.48,C,2 years,RENT,24000,Source Verified,Fully Paid,debt_consolidation,PA,9,5682.99014,Individual
8850,8850, 36 months,6.62%,271.73,A,10+ years,RENT,62000,Source Verified,Fully Paid,credit_card,MD,19,9782.190001,Individual
6375,6375, 36 months,7.51%,198.34,A,4 years,RENT,44000,Source Verified,Fully Paid,debt_consolidation,GA,11,6737.872873,Individual
6000,6000, 36 months,11.71%,198.46,B,1 year,RENT,90000,Not Verified,Fully Paid,credit_card,NJ,23,7041.911592,Individual
11100,11100, 36 months,6.62%,340.82,A,10+ years,RENT,41000,Verified,Charged Off,credit_card,PA,18,8124.54,Individual
10000,10000, 60 months,12.69%,225.95,B,2 years,MORTGAGE,56000,Source Verified,Fully Paid,debt_consolidation,CA,18,12739.07,Individual
6200,6200, 36 months,6.03%,188.71,A,5 years,MORTGAGE,26500,Not Verified,Fully Paid,small_business,WV,18,6793.18285,Individual
15000,15000, 36 months,18.64%,547.12,E,1 year,RENT,54000,Not Verified,Fully Paid,debt_consolidation,GA,12,19405.30244,Individual
4200,4200, 36 months,11.71%,138.92,B,2 years,RENT,53000,Not Verified,Fully Paid,other,MD,22,5001.080367,Individual
14000,14000, 36 months,14.27%,480.33,C,4 years,RENT,52800,Not Verified,Fully Paid,debt_consolidation,CA,14,14488.26632,Individual
8875,8875, 36 months,7.51%,276.11,A,1 year,MORTGAGE,38000,Not Verified,Fully Paid,debt_consolidation,GA,27,9713.561012,Individual
13500,13500, 36 months,9.91%,435.04,B,7 years,RENT,38000,Verified,Fully Paid,debt_consolidation,CA,7,15659.00546,Individual
12000,12000, 36 months,9.91%,386.7,B,2 years,RENT,42000,Not Verified,Charged Off,debt_consolidation,MN,16,11242.49,Individual
16000,15975, 60 months,19.91%,423.11,E,4 years,RENT,55000,Verified,Fully Paid,debt_consolidation,WA,19,22286.22034,Individual
21600,20498.26578, 60 months,19.42%,565.32,E,8 years,MORTGAGE,60000,Source Verified,Fully Paid,debt_consolidation,GA,21,27586.78141,Individual
6000,6000, 36 months,10.65%,195.44,B,6 years,MORTGAGE,87000,Not Verified,Fully Paid,home_improvement,NJ,22,7000.232528,Individual
8450,8425, 60 months,16.77%,208.97,D,5 years,OWN,25000,Verified,Fully Paid,debt_consolidation,IL,21,12206.22001,Individual
20000,18590.33777, 60 months,13.49%,460.1,C,1 year,RENT,82000,Not Verified,Fully Paid,credit_card,OH,23,26403.41,Individual
10000,10000, 36 months,11.71%,330.76,B,8 years,RENT,60000,Not Verified,Charged Off,debt_consolidation,CA,26,6002.38,Individual
12000,12000, 36 months,16.29%,423.61,D,5 years,MORTGAGE,80000,Verified,Fully Paid,credit_card,GA,11,14949.9047,Individual
13475,13450, 60 months,13.49%,309.99,C,10+ years,RENT,25000,Verified,Charged Off,credit_card,CA,14,6199.8,Individual
7200,7200, 36 months,12.42%,240.59,B,5 years,RENT,48000,Not Verified,Fully Paid,major_purchase,IL,10,8677.64414,Individual
5600,5600, 36 months,14.65%,193.17,C,1 year,MORTGAGE,85000,Not Verified,Charged Off,debt_consolidation,AZ,31,1352.19,Individual
12000,11975, 36 months,14.27%,411.71,C,< 1 year,RENT,57000,Verified,Fully Paid,debt_consolidation,CA,11,14401.59573,Individual
8500,8500, 36 months,6.03%,258.71,A,2 years,RENT,25000,Not Verified,Fully Paid,credit_card,MD,18,9074.821136,Individual
8000,8000, 36 months,9.91%,257.8,B,2 years,RENT,34000,Source Verified,Fully Paid,credit_card,PA,7,9280.79,Individual
8000,8000, 36 months,12.42%,267.33,B,10+ years,RENT,40000,Not Verified,Fully Paid,credit_card,OR,11,9623.539087,Individual
16000,8150, 60 months,15.27%,382.92,C,10+ years,RENT,42656.4,Source Verified,Fully Paid,debt_consolidation,GA,17,22394.08,Individual
15000,15000, 36 months,17.27%,536.81,D,2 years,MORTGAGE,44400,Source Verified,Fully Paid,house,FL,16,17994.71325,Individual
10000,10000, 36 months,9.91%,322.25,B,2 years,OWN,30000,Not Verified,Fully Paid,debt_consolidation,VT,30,11387.44049,Individual
10000,10000, 36 months,6.62%,307.04,A,5 years,MORTGAGE,70000,Not Verified,Fully Paid,credit_card,NY,18,10903.4743,Individual
8000,8000, 36 months,14.65%,275.96,C,3 years,RENT,28000,Not Verified,Fully Paid,car,CA,11,8637.015205,Individual
22000,22000, 36 months,9.91%,708.95,B,2 years,MORTGAGE,50000,Verified,Fully Paid,debt_consolidation,MI,32,25523.44999,Individual
6000,6000, 36 months,14.27%,205.86,C,10+ years,MORTGAGE,94800,Verified,Fully Paid,car,TX,30,7217.547545,Individual
16000,15975, 60 months,9.91%,339.25,B,10+ years,OWN,40000,Verified,Fully Paid,debt_consolidation,FL,23,20209.06,Individual
2500,2500, 36 months,7.51%,77.78,A,n/a,OWN,12000,Source Verified,Charged Off,debt_consolidation,CA,20,1838.88,Individual
13500,13500, 36 months,9.91%,435.04,B,2 years,MORTGAGE,36000,Source Verified,Fully Paid,credit_card,DC,15,15622.37656,Individual
25000,25000, 36 months,12.42%,835.39,B,2 years,RENT,225000,Verified,Fully Paid,debt_consolidation,NJ,23,30073.68,Individual
10000,10000, 36 months,13.49%,339.31,C,2 years,RENT,45900,Verified,Fully Paid,small_business,CA,12,12177.62544,Individual
2500,2500, 36 months,13.49%,84.83,C,4 years,RENT,27200,Not Verified,Fully Paid,debt_consolidation,WA,6,3053.71,Individual
7325,7325, 36 months,12.69%,245.72,B,1 year,RENT,42000,Not Verified,Fully Paid,debt_consolidation,FL,29,8845.75,Individual
4000,4000, 36 months,12.42%,133.67,B,5 years,RENT,135000,Verified,Fully Paid,credit_card,NY,21,4337.425225,Individual
10000,10000, 36 months,13.49%,339.31,C,5 years,RENT,65000,Not Verified,Charged Off,small_business,CA,17,9270.84,Individual
7750,7750, 36 months,17.27%,277.36,D,< 1 year,RENT,24000,Not Verified,Charged Off,debt_consolidation,IL,7,6934,Individual
20000,20000, 60 months,20.89%,539.84,F,6 years,RENT,70000,Source Verified,Charged Off,debt_consolidation,FL,24,5427.53,Individual
9600,9600, 36 months,12.42%,320.79,B,10+ years,RENT,65000,Verified,Fully Paid,debt_consolidation,NY,11,11338.81668,Individual
21000,21000, 60 months,11.71%,464.07,B,3 years,RENT,60000,Not Verified,Charged Off,debt_consolidation,CA,11,3712.56,Individual
14000,14000, 36 months,10.65%,456.03,B,3 years,RENT,30000,Source Verified,Fully Paid,credit_card,CT,14,15200.41047,Individual
13350,13350, 36 months,12.42%,446.1,B,10+ years,RENT,43000,Not Verified,Fully Paid,debt_consolidation,CA,15,16059.37,Individual
15000,15000, 36 months,16.77%,533.08,D,10+ years,RENT,42000,Verified,Charged Off,debt_consolidation,WI,38,13373.77,Individual
15000,15000, 36 months,17.27%,536.81,D,8 years,RENT,75000,Source Verified,Charged Off,debt_consolidation,CA,17,10199.39,Individual
11000,10750, 60 months,13.49%,253.06,C,10+ years,MORTGAGE,129000,Verified,Fully Paid,debt_consolidation,CA,31,15121.77002,Individual
35000,35000, 36 months,10.65%,1140.07,B,2 years,MORTGAGE,168000,Verified,Fully Paid,debt_consolidation,TX,22,38061.50488,Individual
9000,9000, 36 months,10.65%,293.16,B,9 years,MORTGAGE,74000,Source Verified,Fully Paid,credit_card,SD,10,10553.74,Individual
22475,22425, 60 months,15.27%,537.87,C,7 years,MORTGAGE,52000,Verified,Fully Paid,debt_consolidation,NH,23,32080.69004,Individual
16000,16000, 36 months,12.69%,536.72,B,1 year,RENT,58500,Source Verified,Charged Off,debt_consolidation,IL,10,12295.72,Individual
13500,13500, 36 months,12.69%,452.86,B,5 years,RENT,71000,Source Verified,Fully Paid,debt_consolidation,VA,11,16302.76,Individual
24000,24000, 36 months,12.69%,805.08,B,10+ years,RENT,75000,Verified,Fully Paid,debt_consolidation,WA,33,28982.71001,Individual
12000,12000, 36 months,10.65%,390.88,B,5 years,RENT,60000,Not Verified,Fully Paid,credit_card,CA,18,14071.63,Individual
8400,8150, 60 months,16.77%,207.73,D,5 years,RENT,87996,Not Verified,Fully Paid,major_purchase,NY,13,12290.64001,Individual
28000,27975, 60 months,17.58%,704.64,D,5 years,MORTGAGE,140000,Verified,Fully Paid,home_improvement,NC,24,28411.15,Individual
14000,14000, 36 months,6.62%,429.86,A,10+ years,RENT,66000,Source Verified,Fully Paid,debt_consolidation,VA,46,15451.16044,Individual
12000,12000, 36 months,14.27%,411.71,C,8 years,MORTGAGE,70000,Not Verified,Charged Off,other,NY,12,4249.37,Individual
25000,25000, 36 months,11.71%,826.9,B,10+ years,MORTGAGE,100000,Verified,Fully Paid,debt_consolidation,RI,18,29279.4541,Individual
9000,9000, 36 months,12.69%,301.91,B,5 years,RENT,50000,Source Verified,Fully Paid,debt_consolidation,NY,21,10868.48,Individual
13250,13250, 36 months,10.65%,431.6,B,4 years,RENT,35000,Not Verified,Fully Paid,debt_consolidation,OH,25,15537.4,Individual
20000,20000, 36 months,13.49%,678.61,C,6 years,RENT,75000,Verified,Fully Paid,debt_consolidation,CA,17,23865.33884,Individual
3000,3000, 36 months,14.65%,103.49,C,5 years,RENT,71000,Verified,Fully Paid,medical,WI,14,3725.309999,Individual
7350,7350, 36 months,10.65%,239.42,B,10+ years,MORTGAGE,48000,Not Verified,Fully Paid,debt_consolidation,AR,5,8618.839995,Individual
11500,11500, 36 months,15.27%,400.18,C,5 years,RENT,36000,Not Verified,Fully Paid,debt_consolidation,FL,14,14406.18999,Individual
13650,13650, 36 months,12.42%,456.12,B,10+ years,MORTGAGE,86000,Not Verified,Charged Off,debt_consolidation,CA,34,8204.31,Individual
